ID,Тип,Артикул,Имя,Опубликован,рекомендуемый?,"Видимость в каталоге","Краткое описание",Описание,"Дата начала действия скидки","Дата окончания действия скидки","Статус налога","Налоговый класс","В наличии?",Запасы,"Величина малых запасов","Возможен ли предзаказ?","Продано индивидуально?","Вес (kg)","Длина (cm)","Ширина (cm)","Высота (cm)","Разрешить отзывы от клиентов?","Примечание к покупке","Акционная цена","Базовая цена",Категории,Метки,"Класс доставки",Изображения,"Лимит загрузок","Дней срока загрузки",Родительский,"Сгруппированные товары",Апсейл,Кросселы,"Внешний URL","Текст кнопки",Позиция,"Имя атрибута 1","Значения атрибутов 1","Видимость атрибута 1","Глобальный атрибут 1","Имя атрибута 2","Значения атрибутов 2","Видимость атрибута 2","Глобальный атрибут 2","ID загрузки 1","Имя загрузки 1","URL загрузки 1","ID загрузки 2","Имя загрузки 2","URL загрузки 2"
31,simple,,"Rare Earth Deep Pore Minimizing Cleansing",1,0,visible,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Cras luctus congue nisi.","Cras mattis consectetur purus sit amet fermentum. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum id ligula porta felis euismod semper. Maecenas faucibus mollis interdum.\n\nDuis mollis, est non commodo luctus, nisi erat porttitor ligula, eget lacinia odio sem nec elit. Curabitur blandit tempus porttitor. Nullam quis risus eget urna mollis ornare vel eu leo. Cras mattis consectetur purus sit amet fermentum. Lorem ipsum dolor sit amet, consectetur adipiscing elit.",,,taxable,,1,,,0,0,,,,,1,,,14,Cosmetics,,,http://wptest.loc/wp-content/uploads/2021/07/Maven.jpg,,,,,,,,,0,,,,,,,,,,,,,,
40,simple,,"Facial Treatment Essence (Pitera Essence)",1,0,visible,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Cras luctus congue nisi.","Cras mattis consectetur purus sit amet fermentum. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum id ligula porta felis euismod semper. Maecenas faucibus mollis interdum.\n\nDuis mollis, est non commodo luctus, nisi erat porttitor ligula, eget lacinia odio sem nec elit. Curabitur blandit tempus porttitor. Nullam quis risus eget urna mollis ornare vel eu leo. Cras mattis consectetur purus sit amet fermentum. Lorem ipsum dolor sit amet, consectetur adipiscing elit.",,,taxable,,1,,,0,0,,,,,1,,18,21,Cosmetics,,,http://wptest.loc/wp-content/uploads/2021/07/Img-4.jpg,,,,,,,,,0,,,,,,,,,,,,,,
42,simple,,"Mini Radiant Creamy Concealer and Blush",1,0,visible,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Cras luctus congue nisi.","Cras mattis consectetur purus sit amet fermentum. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum id ligula porta felis euismod semper. Maecenas faucibus mollis interdum.\n\nDuis mollis, est non commodo luctus, nisi erat porttitor ligula, eget lacinia odio sem nec elit. Curabitur blandit tempus porttitor. Nullam quis risus eget urna mollis ornare vel eu leo. Cras mattis consectetur purus sit amet fermentum. Lorem ipsum dolor sit amet, consectetur adipiscing elit.",,,taxable,,1,,,0,0,,,,,1,,,14,Cosmetics,,,http://wptest.loc/wp-content/uploads/2021/07/Allure.jpg,,,,,,,,,0,,,,,,,,,,,,,,
93,simple,,"Watermelon Glow Hyaluronic Clay Pore",1,0,visible,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Cras luctus congue nisi.","Cras mattis consectetur purus sit amet fermentum. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum id ligula porta felis euismod semper. Maecenas faucibus mollis interdum.\n\nDuis mollis, est non commodo luctus, nisi erat porttitor ligula, eget lacinia odio sem nec elit. Curabitur blandit tempus porttitor. Nullam quis risus eget urna mollis ornare vel eu leo. Cras mattis consectetur purus sit amet fermentum. Lorem ipsum dolor sit amet, consectetur adipiscing elit.",,,taxable,,1,,,0,0,,,,,1,,,14,Cosmetics,,,http://wptest.loc/wp-content/uploads/2021/07/Klassichic.jpg,,,,,,,,,0,,,,,,,,,,,,,,
94,simple,,"Ultra Facial Moisturizing Cream",1,0,visible,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Cras luctus congue nisi.","Cras mattis consectetur purus sit amet fermentum. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum id ligula porta felis euismod semper. Maecenas faucibus mollis interdum.\n\nDuis mollis, est non commodo luctus, nisi erat porttitor ligula, eget lacinia odio sem nec elit. Curabitur blandit tempus porttitor. Nullam quis risus eget urna mollis ornare vel eu leo. Cras mattis consectetur purus sit amet fermentum. Lorem ipsum dolor sit amet, consectetur adipiscing elit.",,,taxable,,1,,,0,0,,,,,1,,,14,Cosmetics,,,http://wptest.loc/wp-content/uploads/2021/07/Beaucoup.jpg,,,,,,,,,0,,,,,,,,,,,,,,
95,simple,,"Deep Sweep 2% BHA Pore Cleaning Toner",1,0,visible,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Cras luctus congue nisi.","Cras mattis consectetur purus sit amet fermentum. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum id ligula porta felis euismod semper. Maecenas faucibus mollis interdum.\n\nDuis mollis, est non commodo luctus, nisi erat porttitor ligula, eget lacinia odio sem nec elit. Curabitur blandit tempus porttitor. Nullam quis risus eget urna mollis ornare vel eu leo. Cras mattis consectetur purus sit amet fermentum. Lorem ipsum dolor sit amet, consectetur adipiscing elit.",,,taxable,,1,,,0,0,,,,,1,,,21,Cosmetics,,,"http://wptest.loc/wp-content/uploads/2021/07/Glamifiedviola.jpg, http://wptest.loc/wp-content/uploads/2021/07/gr.jpg, http://wptest.loc/wp-content/uploads/2021/07/gray.jpg, http://wptest.loc/wp-content/uploads/2021/07/Glamifiedpeach.jpg",,,,,,,,,0,,,,,,,,,,,,,,
96,simple,,"Vinopure Pore Purifying Gel Cleanser",1,0,visible,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Cras luctus congue nisi.","Cras mattis consectetur purus sit amet fermentum. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum id ligula porta felis euismod semper. Maecenas faucibus mollis interdum.\n\nDuis mollis, est non commodo luctus, nisi erat porttitor ligula, eget lacinia odio sem nec elit. Curabitur blandit tempus porttitor. Nullam quis risus eget urna mollis ornare vel eu leo. Cras mattis consectetur purus sit amet fermentum. Lorem ipsum dolor sit amet, consectetur adipiscing elit.",,,taxable,,1,,,0,0,,,,,1,,,14,Cosmetics,,,http://wptest.loc/wp-content/uploads/2021/07/Pearlville-1.jpg,,,,,,,,,0,,,,,,,,,,,,,,
97,simple,,"Eternal Sunset Collection Lip and Cheek",1,0,visible,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Cras luctus congue nisi.","Cras mattis consectetur purus sit amet fermentum. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum id ligula porta felis euismod semper. Maecenas faucibus mollis interdum.\n\nDuis mollis, est non commodo luctus, nisi erat porttitor ligula, eget lacinia odio sem nec elit. Curabitur blandit tempus porttitor. Nullam quis risus eget urna mollis ornare vel eu leo. Cras mattis consectetur purus sit amet fermentum. Lorem ipsum dolor sit amet, consectetur adipiscing elit.",,,taxable,,1,,,0,0,,,,,1,,12,16,Cosmetics,,,"http://wptest.loc/wp-content/uploads/2021/07/Glamifiedpeach.jpg, http://wptest.loc/wp-content/uploads/2021/07/gr.jpg, http://wptest.loc/wp-content/uploads/2021/07/gray.jpg, http://wptest.loc/wp-content/uploads/2021/07/Glamifiedviola.jpg",,,,,,,,,0,,,,,,,,,,,,,,
1757,variable,woo-vneck-tee,"V-Neck T-Shirt",1,1,visible,"This is a variable product.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,,"Clothing > Tshirts",,,"http://wptest.loc/wp-content/uploads/2022/07/vneck-tee-2.jpg, http://wptest.loc/wp-content/uploads/2022/07/vnech-tee-green-1.jpg, http://wptest.loc/wp-content/uploads/2022/07/vnech-tee-blue-1.jpg",,,,,,,,,0,Color,"Blue, Green, Red",1,1,Size,"Large, Medium, Small",1,1,,,,,,
1758,variable,woo-hoodie,Hoodie,1,0,visible,"This is a variable product.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,,"Clothing > Hoodies",,,"http://wptest.loc/wp-content/uploads/2022/07/hoodie-2.jpg, http://wptest.loc/wp-content/uploads/2022/07/hoodie-blue-1.jpg, http://wptest.loc/wp-content/uploads/2022/07/hoodie-green-1.jpg, http://wptest.loc/wp-content/uploads/2022/07/hoodie-with-logo-2.jpg",,,,,,,,,0,Color,"Blue, Green, Red",1,1,Logo,"Yes, No",1,0,,,,,,
1759,simple,woo-hoodie-with-logo,"Hoodie with Logo",1,0,visible,"This is a simple product.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,45,"Clothing > Hoodies",,,http://wptest.loc/wp-content/uploads/2022/07/hoodie-with-logo-2.jpg,,,,,,,,,0,Color,Blue,1,1,,,,,,,,,,
1760,simple,woo-tshirt,T-Shirt,1,0,visible,"This is a simple product.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,18,"Clothing > Tshirts",,,http://wptest.loc/wp-content/uploads/2022/07/tshirt-2.jpg,,,,,,,,,0,Color,Gray,1,1,,,,,,,,,,
1761,simple,woo-beanie,Beanie,1,0,visible,"This is a simple product.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,18,20,"Clothing > Accessories",,,http://wptest.loc/wp-content/uploads/2022/07/beanie-2.jpg,,,,,,,,,0,Color,Red,1,1,,,,,,,,,,
1762,simple,woo-belt,Belt,1,0,visible,"This is a simple product.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,55,65,"Clothing > Accessories",,,http://wptest.loc/wp-content/uploads/2022/07/belt-2.jpg,,,,,,,,,0,,,,,,,,,,,,,,
1763,simple,woo-cap,Cap,1,1,visible,"This is a simple product.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,16,18,"Clothing > Accessories, Category 1 > Category 1 1 > Category 1 1 2",,,http://wptest.loc/wp-content/uploads/2022/07/cap-2.jpg,,,,,,,,,0,Color,Yellow,1,1,,,,,,,,,,
1764,simple,woo-sunglasses,Sunglasses,1,1,visible,"This is a simple product.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,90,"Clothing > Accessories, Category 1 > Category 1 2",,,http://wptest.loc/wp-content/uploads/2022/07/sunglasses-2.jpg,,,,,,,,,0,,,,,,,,,,,,,,
1765,simple,woo-hoodie-with-pocket,"Hoodie with Pocket",1,1,hidden,"This is a simple product.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,35,45,"Category 1 > Category 1 3, Clothing > Hoodies",,,http://wptest.loc/wp-content/uploads/2022/07/hoodie-with-pocket-2.jpg,,,,,,,,,0,Color,Gray,1,1,,,,,,,,,,
1766,simple,woo-hoodie-with-zipper,"Hoodie with Zipper",1,1,visible,"This is a simple product.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,45,"Category 2, Clothing > Hoodies",,,http://wptest.loc/wp-content/uploads/2022/07/hoodie-with-zipper-2.jpg,,,,,,,,,0,,,,,,,,,,,,,,
1767,simple,woo-long-sleeve-tee,"Long Sleeve Tee",1,0,visible,"This is a simple product.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,25,"Category 1 > Category 1 3, Clothing > Tshirts",,,http://wptest.loc/wp-content/uploads/2022/07/long-sleeve-tee-2.jpg,,,,,,,,,0,Color,Green,1,1,,,,,,,,,,
1768,simple,woo-polo,Polo,1,0,visible,"This is a simple product.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,20,"Clothing > Tshirts",,,http://wptest.loc/wp-content/uploads/2022/07/polo-2.jpg,,,,,,,,,0,Color,Blue,1,1,,,,,,,,,,
1769,"simple, downloadable, virtual",woo-album,Album,1,0,visible,"This is a simple, virtual product.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,taxable,,1,,,0,0,,,,,1,,,15,Music,,,http://wptest.loc/wp-content/uploads/2022/07/album-1.jpg,1,1,,,,,,,0,,,,,,,,,27fb7248-6387-4db2-805a-a25423fb4b72,"Single 1",https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2017/08/single.jpg,93392b21-7e51-4068-bf1d-b16e961ae51d,"Single 2",https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2017/08/album.jpg
1770,"simple, downloadable, virtual",woo-single,Single,1,0,visible,"This is a simple, virtual product.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,taxable,,1,,,0,0,,,,,1,,2,3,"Category 1 > Category 1 1 > Category 1 1 1 > Category 1 1 1 1, Music",,,http://wptest.loc/wp-content/uploads/2022/07/single-1.jpg,1,1,,,,,,,0,,,,,,,,,24344228-7885-4fae-9299-f77de33357da,Single,https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2017/08/single.jpg,,,
1771,variation,woo-vneck-tee-red,"V-Neck T-Shirt - Red",1,0,visible,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,taxable,,1,,,0,0,,,,,0,,,20,,,,http://wptest.loc/wp-content/uploads/2022/07/vneck-tee-2.jpg,,,woo-vneck-tee,,,,,,0,Color,Red,,1,Size,,,1,,,,,,
1772,variation,woo-vneck-tee-green,"V-Neck T-Shirt - Green",1,0,visible,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,taxable,,1,,,0,0,,,,,0,,,20,,,,http://wptest.loc/wp-content/uploads/2022/07/vnech-tee-green-1.jpg,,,woo-vneck-tee,,,,,,0,Color,Green,,1,Size,,,1,,,,,,
1773,variation,woo-vneck-tee-blue,"V-Neck T-Shirt - Blue",1,0,visible,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,taxable,,1,,,0,0,,,,,0,,,15,,,,http://wptest.loc/wp-content/uploads/2022/07/vnech-tee-blue-1.jpg,,,woo-vneck-tee,,,,,,0,Color,Blue,,1,Size,,,1,,,,,,
1774,variation,woo-hoodie-red,"Hoodie - Red, No",1,0,visible,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,taxable,,1,,,0,0,,,,,0,,42,45,,,,http://wptest.loc/wp-content/uploads/2022/07/hoodie-2.jpg,,,woo-hoodie,,,,,,1,Color,Red,,1,Logo,No,,0,,,,,,
1775,variation,woo-hoodie-green,"Hoodie - Green, No",1,0,visible,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,taxable,,1,,,0,0,,,,,0,,,45,,,,http://wptest.loc/wp-content/uploads/2022/07/hoodie-green-1.jpg,,,woo-hoodie,,,,,,2,Color,Green,,1,Logo,No,,0,,,,,,
1776,variation,woo-hoodie-blue,"Hoodie - Blue, No",1,0,visible,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,taxable,,1,,,0,0,,,,,0,,,45,,,,http://wptest.loc/wp-content/uploads/2022/07/hoodie-blue-1.jpg,,,woo-hoodie,,,,,,3,Color,Blue,,1,Logo,No,,0,,,,,,
1777,simple,Woo-tshirt-logo,"T-Shirt with Logo",1,0,visible,"This is a simple product.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,18,"Category 1 > Category 1 1 > Category 1 1 1 > Category 1 1 1 2, Clothing > Tshirts",,,http://wptest.loc/wp-content/uploads/2022/07/t-shirt-with-logo-1.jpg,,,,,,,,,0,Color,Gray,1,1,,,,,,,,,,
1778,simple,Woo-beanie-logo,"Beanie with Logo",1,0,visible,"This is a simple product.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,18,20,"Clothing > Accessories, Category 1",,,http://wptest.loc/wp-content/uploads/2022/07/beanie-with-logo-1.jpg,,,,,,,,,0,Color,Red,1,1,,,,,,,,,,
1779,grouped,logo-collection,"Logo Collection",1,0,visible,"This is a grouped product.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,,"Category 1 > Category 1 1, Clothing",,,"http://wptest.loc/wp-content/uploads/2022/07/logo-1.jpg, http://wptest.loc/wp-content/uploads/2022/07/beanie-with-logo-1.jpg, http://wptest.loc/wp-content/uploads/2022/07/t-shirt-with-logo-1.jpg, http://wptest.loc/wp-content/uploads/2022/07/hoodie-with-logo-2.jpg",,,,"woo-hoodie-with-logo, woo-tshirt, woo-beanie",,,,,0,,,,,,,,,,,,,,
1780,external,wp-pennant,"WordPress Pennant",1,0,visible,"This is an external product.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,11.05,"Category 1 > Category 1 1 > Category 1 1 1, Decor",,,http://wptest.loc/wp-content/uploads/2022/07/pennant-1.jpg,,,,,,,https://mercantile.wordpress.org/product/wordpress-pennant/,"Buy on the WordPress swag store!",0,,,,,,,,,,,,,,
1781,variation,woo-hoodie-blue-logo,"Hoodie - Blue, Yes",1,0,visible,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,taxable,,1,,,0,0,,,,,0,,,45,,,,http://wptest.loc/wp-content/uploads/2022/07/hoodie-with-logo-2.jpg,,,woo-hoodie,,,,,,0,Color,Blue,,1,Logo,Yes,,0,,,,,,
